checking_account_status,duration,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit risk
< 0 DM,18,existing credits paid back duly till now,radio/TV,3190,< 100 DM,1 ≤ … < 4 years,2,female (divorced/separated/married),none,2,real estate,24,none,own,1,skilled employee,1,none,yes,bad
< 0 DM,18,existing credits paid back duly till now,car (new),4380,100 ≤ … < 500 DM,1 ≤ … < 4 years,3,male (single),none,4,car or other,35,none,own,1,unskilled resident,2,yes,yes,good
< 0 DM,24,all credits paid back at this bank,car (new),2325,100 ≤ … < 500 DM,4 ≤ … < 7 years,2,male (single),none,3,car or other,32,bank,own,1,skilled employee,1,none,yes,good
≥ 200 DM,12,existing credits paid back duly till now,radio/TV,1297,< 100 DM,1 ≤ … < 4 years,3,male (married/widowed),none,4,real estate,23,none,rent,1,skilled employee,1,none,yes,good
no checking account,33,critical account / other credits existing,car (used),7253,< 100 DM,4 ≤ … < 7 years,3,male (single),none,2,car or other,35,none,own,2,management / highly qualified / self-employed / officer,1,yes,yes,good
< 0 DM,24,existing credits paid back duly till now,radio/TV,2384,< 100 DM,≥ 7 years,4,male (single),none,4,real estate,64,bank,rent,1,unskilled resident,1,none,yes,good
≥ 200 DM,6,existing credits paid back duly till now,furniture/equipment,2116,< 100 DM,1 ≤ … < 4 years,2,male (single),none,2,real estate,41,none,own,1,skilled employee,1,yes,yes,good
0 ≤ … < 200 DM,12,delay in paying off in the past,radio/TV,585,< 100 DM,1 ≤ … < 4 years,4,male (married/widowed),co-applicant,4,real estate,20,none,rent,2,skilled employee,1,none,yes,good
no checking account,9,existing credits paid back duly till now,car (new),3577,100 ≤ … < 500 DM,1 ≤ … < 4 years,1,male (single),guarantor,2,real estate,26,none,rent,1,skilled employee,2,none,no,good
no checking account,27,delay in paying off in the past,car (used),8613,≥ 1000 DM,1 ≤ … < 4 years,2,male (single),none,2,car or other,27,none,own,2,skilled employee,1,none,yes,good
0 ≤ … < 200 DM,6,existing credits paid back duly till now,radio/TV,484,< 100 DM,4 ≤ … < 7 years,3,male (married/widowed),guarantor,3,real estate,28,bank,own,1,unskilled resident,1,none,yes,good
< 0 DM,42,existing credits paid back duly till now,radio/TV,3965,< 100 DM,< 1 year,4,male (single),none,3,car or other,34,none,own,1,skilled employee,1,none,yes,bad
no checking account,24,existing credits paid back duly till now,radio/TV,1376,500 ≤ … < 1000 DM,4 ≤ … < 7 years,4,female (divorced/separated/married),none,1,car or other,28,none,own,1,skilled employee,1,none,yes,good
< 0 DM,60,existing credits paid back duly till now,business,7297,< 100 DM,≥ 7 years,4,male (single),co-applicant,4,unknown / no property,36,none,rent,1,skilled employee,1,none,yes,bad
0 ≤ … < 200 DM,60,existing credits paid back duly till now,education,6288,< 100 DM,1 ≤ … < 4 years,4,male (single),none,4,unknown / no property,42,none,for free,1,skilled employee,1,none,yes,bad
< 0 DM,18,existing credits paid back duly till now,furniture/equipment,4153,< 100 DM,1 ≤ … < 4 years,2,male (single),co-applicant,3,car or other,42,none,own,1,skilled employee,1,none,yes,bad
no checking account,15,critical account / other credits existing,car (used),3368,≥ 1000 DM,≥ 7 years,3,male (single),none,4,unknown / no property,23,none,rent,2,skilled employee,1,yes,yes,good
no checking account,18,critical account / other credits existing,radio/TV,1098,< 100 DM,unemployed,4,female (divorced/separated/married),none,4,car or other,65,none,own,2,unemployed / unskilled non-resident,1,none,yes,good
< 0 DM,18,critical account / other credits existing,furniture/equipment,2124,< 100 DM,1 ≤ … < 4 years,4,female (divorced/separated/married),none,4,real estate,24,none,rent,2,skilled employee,1,none,yes,bad
< 0 DM,15,delay in paying off in the past,furniture/equipment,3643,< 100 DM,≥ 7 years,1,female (divorced/separated/married),none,4,building society savings / life insurance,27,none,own,2,unskilled resident,1,none,yes,good
no checking account,48,critical account / other credits existing,car (used),8858,unknown / no savings account,4 ≤ … < 7 years,2,male (single),none,1,unknown / no property,35,none,for free,2,skilled employee,1,yes,yes,good
< 0 DM,21,delay in paying off in the past,education,3414,< 100 DM,< 1 year,2,male (single),none,1,building society savings / life insurance,26,none,own,2,skilled employee,1,none,yes,bad
no checking account,18,critical account / other credits existing,radio/TV,6070,< 100 DM,≥ 7 years,3,male (single),none,4,car or other,33,none,own,2,skilled employee,1,yes,yes,good
no checking account,4,critical account / other credits existing,radio/TV,1503,< 100 DM,4 ≤ … < 7 years,2,male (single),none,1,real estate,42,none,own,2,unskilled resident,2,none,yes,good
no checking account,9,critical account / other credits existing,radio/TV,3074,unknown / no savings account,1 ≤ … < 4 years,1,male (single),none,2,real estate,33,none,own,2,skilled employee,2,none,yes,good
< 0 DM,24,existing credits paid back duly till now,radio/TV,1823,< 100 DM,unemployed,4,male (single),none,2,car or other,30,stores,own,1,management / highly qualified / self-employed / officer,2,none,yes,bad
0 ≤ … < 200 DM,36,existing credits paid back duly till now,radio/TV,2323,< 100 DM,4 ≤ … < 7 years,4,male (single),none,4,car or other,24,none,rent,1,skilled employee,1,none,yes,good
≥ 200 DM,42,no credits taken / all paid back duly,business,6289,< 100 DM,< 1 year,2,male (divorced/separated),none,1,building society savings / life insurance,33,none,own,2,skilled employee,1,none,yes,good
no checking account,36,critical account / other credits existing,car (used),10477,unknown / no savings account,≥ 7 years,2,male (single),none,4,unknown / no property,42,none,for free,2,skilled employee,1,none,yes,good
no checking account,12,existing credits paid back duly till now,car (new),2859,unknown / no savings account,unemployed,4,male (single),none,4,unknown / no property,38,none,own,1,management / highly qualified / self-employed / officer,1,yes,yes,good
0 ≤ … < 200 DM,13,critical account / other credits existing,radio/TV,882,< 100 DM,< 1 year,4,male (single),guarantor,4,real estate,23,none,own,2,skilled employee,1,none,yes,good
≥ 200 DM,12,existing credits paid back duly till now,radio/TV,1881,< 100 DM,1 ≤ … < 4 years,2,female (divorced/separated/married),none,2,car or other,44,none,rent,1,unskilled resident,1,yes,yes,good
no checking account,18,critical account / other credits existing,car (new),1530,< 100 DM,1 ≤ … < 4 years,3,male (single),none,2,building society savings / life insurance,32,bank,own,2,skilled employee,1,none,yes,bad
≥ 200 DM,6,critical account / other credits existing,car (new),1323,100 ≤ … < 500 DM,≥ 7 years,2,male (divorced/separated),none,4,car or other,28,none,own,2,skilled employee,2,yes,yes,good
no checking account,36,existing credits paid back duly till now,car (new),3079,unknown / no savings account,1 ≤ … < 4 years,4,male (single),none,4,real estate,36,none,own,1,skilled employee,1,none,yes,good
0 ≤ … < 200 DM,24,existing credits paid back duly till now,car (used),2760,unknown / no savings account,≥ 7 years,4,male (single),none,4,unknown / no property,36,bank,for free,1,skilled employee,1,yes,yes,good
0 ≤ … < 200 DM,36,delay in paying off in the past,car (new),2862,100 ≤ … < 500 DM,≥ 7 years,4,male (single),none,3,unknown / no property,30,none,for free,1,skilled employee,1,none,yes,good
no checking account,12,existing credits paid back duly till now,car (new),2133,unknown / no savings account,≥ 7 years,4,female (divorced/separated/married),none,4,unknown / no property,52,none,for free,1,management / highly qualified / self-employed / officer,1,yes,yes,good
no checking account,20,critical account / other credits existing,car (new),3485,unknown / no savings account,< 1 year,2,male (divorced/separated),none,4,real estate,44,none,own,2,skilled employee,1,yes,yes,good
< 0 DM,36,critical account / other credits existing,furniture/equipment,6229,< 100 DM,< 1 year,4,female (divorced/separated/married),co-applicant,4,unknown / no property,23,none,rent,2,unskilled resident,1,yes,yes,bad
≥ 200 DM,36,existing credits paid back duly till now,radio/TV,4473,< 100 DM,≥ 7 years,4,male (single),none,2,car or other,31,none,own,1,skilled employee,1,none,yes,good
no checking account,12,critical account / other credits existing,education,2012,unknown / no savings account,4 ≤ … < 7 years,4,female (divorced/separated/married),none,2,car or other,61,none,own,1,skilled employee,1,none,yes,good
≥ 200 DM,24,existing credits paid back duly till now,furniture/equipment,3749,< 100 DM,< 1 year,2,female (divorced/separated/married),none,4,car or other,26,none,own,1,skilled employee,1,none,yes,good
no checking account,30,critical account / other credits existing,radio/TV,2831,< 100 DM,1 ≤ … < 4 years,4,female (divorced/separated/married),none,2,car or other,33,none,own,1,skilled employee,1,yes,yes,good
0 ≤ … < 200 DM,21,critical account / other credits existing,furniture/equipment,2745,≥ 1000 DM,4 ≤ … < 7 years,3,male (single),none,2,car or other,32,none,own,2,skilled employee,1,yes,yes,good
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,1262,unknown / no savings account,≥ 7 years,2,male (divorced/separated),none,4,building society savings / life insurance,49,none,own,1,unskilled resident,1,yes,yes,good
< 0 DM,24,all credits paid back at this bank,furniture/equipment,6872,< 100 DM,< 1 year,2,male (divorced/separated),none,1,building society savings / life insurance,55,bank,own,1,skilled employee,1,yes,yes,bad
0 ≤ … < 200 DM,9,existing credits paid back duly till now,furniture/equipment,918,< 100 DM,1 ≤ … < 4 years,4,female (divorced/separated/married),none,1,building society savings / life insurance,30,none,own,1,skilled employee,1,none,yes,bad
≥ 200 DM,12,all credits paid back at this bank,business,609,< 100 DM,< 1 year,4,female (divorced/separated/married),none,1,real estate,26,none,own,1,unemployed / unskilled non-resident,1,none,yes,bad
no checking account,4,existing credits paid back duly till now,furniture/equipment,601,< 100 DM,< 1 year,1,female (divorced/separated/married),none,3,real estate,23,none,rent,1,unskilled resident,2,none,yes,good
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,3234,< 100 DM,< 1 year,4,female (divorced/separated/married),none,4,real estate,23,none,rent,1,unskilled resident,1,yes,yes,bad
no checking account,30,critical account / other credits existing,radio/TV,6742,unknown / no savings account,4 ≤ … < 7 years,2,male (single),none,3,building society savings / life insurance,36,none,own,2,skilled employee,1,none,yes,good
< 0 DM,24,existing credits paid back duly till now,radio/TV,1603,< 100 DM,≥ 7 years,4,female (divorced/separated/married),none,4,car or other,55,none,own,1,skilled employee,1,none,yes,good
0 ≤ … < 200 DM,36,critical account / other credits existing,car (new),2820,< 100 DM,< 1 year,4,male (divorced/separated),none,4,car or other,27,none,own,2,skilled employee,1,none,yes,bad
0 ≤ … < 200 DM,12,critical account / other credits existing,car (used),1804,100 ≤ … < 500 DM,< 1 year,3,male (single),none,4,building society savings / life insurance,44,none,own,1,skilled employee,1,none,yes,good
0 ≤ … < 200 DM,18,existing credits paid back duly till now,business,1913,≥ 1000 DM,< 1 year,3,male (married/widowed),none,3,real estate,36,bank,own,1,skilled employee,1,yes,yes,good
