rows;run;file;target_column;metric;value
100;1;Statlog_German_Credit_Data_100.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.5998484848484849
100;1;Statlog_German_Credit_Data_100.csv;credit risk;performance.xgb.gt.1.0.maximize;0.6933333333333332
100;2;Statlog_German_Credit_Data_100.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.614090909090909
100;2;Statlog_German_Credit_Data_100.csv;credit risk;performance.xgb.gt.1.0.maximize;0.6771212121212121
100;3;Statlog_German_Credit_Data_100.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.5731818181818181
100;3;Statlog_German_Credit_Data_100.csv;credit risk;performance.xgb.gt.1.0.maximize;0.5881818181818183
100;4;Statlog_German_Credit_Data_100.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.6177272727272728
100;4;Statlog_German_Credit_Data_100.csv;credit risk;performance.xgb.gt.1.0.maximize;0.6334848484848485
100;5;Statlog_German_Credit_Data_100.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.6391666666666667
100;5;Statlog_German_Credit_Data_100.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7193181818181819
200;1;Statlog_German_Credit_Data_200.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.6632938076416337
200;1;Statlog_German_Credit_Data_200.csv;credit risk;performance.xgb.gt.1.0.maximize;0.725125164690382
200;2;Statlog_German_Credit_Data_200.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.6432323232323232
200;2;Statlog_German_Credit_Data_200.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7149494949494949
200;3;Statlog_German_Credit_Data_200.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.6588581466842337
200;3;Statlog_German_Credit_Data_200.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7504084321475626
200;4;Statlog_German_Credit_Data_200.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.6661967501097935
200;4;Statlog_German_Credit_Data_200.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7240360122968819
200;5;Statlog_German_Credit_Data_200.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.6576635924462012
200;5;Statlog_German_Credit_Data_200.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7317698726394377
300;1;Statlog_German_Credit_Data_300.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.6889635854341737
300;1;Statlog_German_Credit_Data_300.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7367040149393091
300;2;Statlog_German_Credit_Data_300.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.6876215940921824
300;2;Statlog_German_Credit_Data_300.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7495356930651049
